lat,lon,weather_main,weather_description,temp,pressure,humidity,temp_min,temp_max,pressure_sea_level,pressure_grnd_level,wind_speed,wind_deg,cloudiness,rain_1h,rain_3h,snow_1h,snow_3h,country,sunrise,sunset,city_id,city_name,uv,date_iso,dt
14.37,100.59,Clouds,scattered clouds,304.1,1007.0,62.0,303.71,305.15,-1.0,-1.0,3.6,220.0,40.0,-1,-1,-1,-1,TH,1566515103,1566560175,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566546936
14.37,100.59,Clouds,scattered clouds,304.34,1007.0,62.0,303.71,305.15,-1.0,-1.0,3.6,220.0,40.0,-1,-1,-1,-1,TH,1566515103,1566560175,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566548136
14.37,100.59,Clouds,few clouds,300.97,1009.0,78.0,300.37,301.48,-1.0,-1.0,2.6,220.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566585336
14.37,100.59,Clouds,few clouds,300.97,1009.0,78.0,300.37,301.48,-1.0,-1.0,2.6,220.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566584736
14.37,100.59,Clouds,few clouds,301.05,1009.0,74.0,300.37,302.15,-1.0,-1.0,3.6,250.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566586536
14.37,100.59,Clouds,few clouds,301.28,1010.0,70.0,300.37,302.15,-1.0,-1.0,2.6,250.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566583537
14.37,100.59,Clouds,few clouds,301.06,1009.0,74.0,300.37,302.15,-1.0,-1.0,3.6,250.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566587736
14.37,100.59,Clouds,few clouds,301.28,1010.0,70.0,300.37,302.15,-1.0,-1.0,2.6,250.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566583537
14.37,100.59,Clouds,few clouds,301.05,1009.0,74.0,300.37,302.15,-1.0,-1.0,3.6,250.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566586536
14.37,100.59,Clouds,few clouds,300.97,1009.0,78.0,300.37,301.48,-1.0,-1.0,2.6,220.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566585336
14.37,100.59,Clouds,few clouds,302.6,1008.0,74.0,302.04,303.15,-1.0,-1.0,3.6,190.0,20.0,-1,-1,-1,-1,TH,1566515103,1566560175,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566566138
14.37,100.59,Clouds,few clouds,302.69,1008.0,74.0,302.04,303.15,-1.0,-1.0,3.6,190.0,20.0,-1,-1,-1,-1,TH,1566515103,1566560175,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566565536
14.37,100.59,Clouds,scattered clouds,303.15,1008.0,74.0,302.59,304.26,-1.0,-1.0,3.6,190.0,40.0,-1,-1,-1,-1,TH,1566515103,1566560175,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566563736
14.37,100.59,Clouds,few clouds,302.6,1008.0,74.0,302.04,303.15,-1.0,-1.0,3.6,190.0,20.0,-1,-1,-1,-1,TH,1566515103,1566560175,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566566138
14.37,100.59,Clouds,few clouds,302.32,1008.0,79.0,301.48,303.15,-1.0,-1.0,3.6,190.0,20.0,-1,-1,-1,-1,TH,1566515103,1566560175,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566567936
14.37,100.59,Clouds,few clouds,302.31,1008.0,79.0,301.48,303.15,-1.0,-1.0,3.6,190.0,20.0,-1,-1,-1,-1,TH,1566515103,1566560175,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566567336
14.37,100.59,Clouds,few clouds,302.32,1008.0,79.0,301.48,303.15,-1.0,-1.0,3.6,190.0,20.0,-1,-1,-1,-1,TH,1566515103,1566560175,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566567936
14.37,100.59,Clouds,few clouds,302.87,1008.0,74.0,302.04,303.71,-1.0,-1.0,3.6,190.0,20.0,-1,-1,-1,-1,TH,1566515103,1566560175,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566564936
