Name,Duration,IsExplicit,Id,Uri,Artists,MainArtistName,MainArtistId,Album,AlbumId,PlayedAt
Zulu Screams (feat. Maleek Berry & Bibi Bourelly),177706,True,2YRDTr0reanrGZOTsWXdek,spotify:track:2YRDTr0reanrGZOTsWXdek,"[{""name"": ""GoldLink"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/5XenQ7XfcvQdfIbpLEFaKQ""}, ""uri"": ""spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ"", ""href"": ""https://api.spotify.com/v1/artists/5XenQ7XfcvQdfIbpLEFaKQ"", ""type"": ""artist"", ""id"": ""5XenQ7XfcvQdfIbpLEFaKQ""}, {""name"": ""Maleek Berry"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/520qA5VGL9iI0SbmEnTVNg""}, ""uri"": ""spotify:artist:520qA5VGL9iI0SbmEnTVNg"", ""href"": ""https://api.spotify.com/v1/artists/520qA5VGL9iI0SbmEnTVNg"", ""type"": ""artist"", ""id"": ""520qA5VGL9iI0SbmEnTVNg""}, {""name"": ""Bibi Bourelly"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/3jDtqAKltRxJi64svLZGj7""}, ""uri"": ""spotify:artist:3jDtqAKltRxJi64svLZGj7"", ""href"": ""https://api.spotify.com/v1/artists/3jDtqAKltRxJi64svLZGj7"", ""type"": ""artist"", ""id"": ""3jDtqAKltRxJi64svLZGj7""}]",GoldLink,5XenQ7XfcvQdfIbpLEFaKQ,Diaspora,spotify:album:790qROmQ1y4aPEYLcSkScH,2019-06-19T15:51:41.129Z
"U Say (feat. Tyler, The Creator & Jay Prince)",200801,True,0xYlNtVflZPG1pUbk4qp77,spotify:track:0xYlNtVflZPG1pUbk4qp77,"[{""name"": ""GoldLink"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/5XenQ7XfcvQdfIbpLEFaKQ""}, ""uri"": ""spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ"", ""href"": ""https://api.spotify.com/v1/artists/5XenQ7XfcvQdfIbpLEFaKQ"", ""type"": ""artist"", ""id"": ""5XenQ7XfcvQdfIbpLEFaKQ""}, {""name"": ""Tyler, The Creator"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4V8LLVI7PbaPR0K2TGSxFF""}, ""uri"": ""spotify:artist:4V8LLVI7PbaPR0K2TGSxFF"", ""href"": ""https://api.spotify.com/v1/artists/4V8LLVI7PbaPR0K2TGSxFF"", ""type"": ""artist"", ""id"": ""4V8LLVI7PbaPR0K2TGSxFF""}, {""name"": ""Jay Prince"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/2TLYSzGyVYkxAgYSCqUnQj""}, ""uri"": ""spotify:artist:2TLYSzGyVYkxAgYSCqUnQj"", ""href"": ""https://api.spotify.com/v1/artists/2TLYSzGyVYkxAgYSCqUnQj"", ""type"": ""artist"", ""id"": ""2TLYSzGyVYkxAgYSCqUnQj""}]",GoldLink,5XenQ7XfcvQdfIbpLEFaKQ,"U Say (feat. Tyler, The Creator & Jay Prince)",spotify:album:5g0xMnMMjem2z6vr3ZXzES,2019-06-20T09:08:19.536Z
Time,210279,True,05v5mPkLAOoa7M5tnXXOwq,spotify:track:05v5mPkLAOoa7M5tnXXOwq,"[{""name"": ""Free Nationals"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4596e2d3KmYzAeVenjCxfj""}, ""uri"": ""spotify:artist:4596e2d3KmYzAeVenjCxfj"", ""href"": ""https://api.spotify.com/v1/artists/4596e2d3KmYzAeVenjCxfj"", ""type"": ""artist"", ""id"": ""4596e2d3KmYzAeVenjCxfj""}, {""name"": ""Mac Miller"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U""}, ""uri"": ""spotify:artist:4LLpKhyESsyAXpc4laK94U"", ""href"": ""https://api.spotify.com/v1/artists/4LLpKhyESsyAXpc4laK94U"", ""type"": ""artist"", ""id"": ""4LLpKhyESsyAXpc4laK94U""}, {""name"": ""Kali Uchis"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/1U1el3k54VvEUzo3ybLPlM""}, ""uri"": ""spotify:artist:1U1el3k54VvEUzo3ybLPlM"", ""href"": ""https://api.spotify.com/v1/artists/1U1el3k54VvEUzo3ybLPlM"", ""type"": ""artist"", ""id"": ""1U1el3k54VvEUzo3ybLPlM""}]",Free Nationals,4596e2d3KmYzAeVenjCxfj,Time,spotify:album:5SEQL40XcXX1FUHtiqa8PG,2019-06-27T08:26:22.367Z
Nu Stogie,266001,True,34UbnrDRI2pYTTaTYbcSFr,spotify:track:34UbnrDRI2pYTTaTYbcSFr,"[{""name"": ""Stoney Willis"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0WkzTjiDcj7D1DfTe72b8e""}, ""uri"": ""spotify:artist:0WkzTjiDcj7D1DfTe72b8e"", ""href"": ""https://api.spotify.com/v1/artists/0WkzTjiDcj7D1DfTe72b8e"", ""type"": ""artist"", ""id"": ""0WkzTjiDcj7D1DfTe72b8e""}, {""name"": ""Earl Sweatshirt"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/3A5tHz1SfngyOZM2gItYKu""}, ""uri"": ""spotify:artist:3A5tHz1SfngyOZM2gItYKu"", ""href"": ""https://api.spotify.com/v1/artists/3A5tHz1SfngyOZM2gItYKu"", ""type"": ""artist"", ""id"": ""3A5tHz1SfngyOZM2gItYKu""}]",Stoney Willis,0WkzTjiDcj7D1DfTe72b8e,Nu Stogie,spotify:album:5G0GDb7zjBP5fQd871FleO,2019-06-27T08:51:19.674Z
a lot,288624,True,2t8yVaLvJ0RenpXUIAC52d,spotify:track:2t8yVaLvJ0RenpXUIAC52d,"[{""name"": ""21 Savage"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft""}, ""uri"": ""spotify:artist:1URnnhqYAYcrqrcwql10ft"", ""href"": ""https://api.spotify.com/v1/artists/1URnnhqYAYcrqrcwql10ft"", ""type"": ""artist"", ""id"": ""1URnnhqYAYcrqrcwql10ft""}]",21 Savage,1URnnhqYAYcrqrcwql10ft,i am > i was,spotify:album:007DWn799UWvfY1wwZeENR,2019-06-27T08:20:58.336Z
Jesus Is The One (I Got Depression),112800,True,1YR9iNGXtsbrd8deR9ULDD,spotify:track:1YR9iNGXtsbrd8deR9ULDD,"[{""name"": ""Zack Fox"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/1UH80jhsYsFztK0anu2FNS""}, ""uri"": ""spotify:artist:1UH80jhsYsFztK0anu2FNS"", ""href"": ""https://api.spotify.com/v1/artists/1UH80jhsYsFztK0anu2FNS"", ""type"": ""artist"", ""id"": ""1UH80jhsYsFztK0anu2FNS""}, {""name"": ""Kenny Beats"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/1rHOtdmGNr5vcYNw5v7QGC""}, ""uri"": ""spotify:artist:1rHOtdmGNr5vcYNw5v7QGC"", ""href"": ""https://api.spotify.com/v1/artists/1rHOtdmGNr5vcYNw5v7QGC"", ""type"": ""artist"", ""id"": ""1rHOtdmGNr5vcYNw5v7QGC""}]",Zack Fox,1UH80jhsYsFztK0anu2FNS,Jesus Is The One (I Got Depression),spotify:album:4M8vfAVCrE4H0Qg25TyYyz,2019-06-27T08:22:51.598Z
Vaping in the Hood,199053,True,4sbdV8g1Hge6AxNe6meeFL,spotify:track:4sbdV8g1Hge6AxNe6meeFL,"[{""name"": ""Dj Jules"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/1lnB4b8jEsNyJZZAzo79q1""}, ""uri"": ""spotify:artist:1lnB4b8jEsNyJZZAzo79q1"", ""href"": ""https://api.spotify.com/v1/artists/1lnB4b8jEsNyJZZAzo79q1"", ""type"": ""artist"", ""id"": ""1lnB4b8jEsNyJZZAzo79q1""}]",Dj Jules,1lnB4b8jEsNyJZZAzo79q1,Vaping in the Hood,spotify:album:36DE4jzmYuhkZGG0fwfPc0,2019-06-27T10:29:09.363Z
BamBam,67104,True,3dFP3jo2prGucStgdQFOT1,spotify:track:3dFP3jo2prGucStgdQFOT1,"[{""name"": ""Yandhi"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/3zGBYPgeO80hsA9j8AsShz""}, ""uri"": ""spotify:artist:3zGBYPgeO80hsA9j8AsShz"", ""href"": ""https://api.spotify.com/v1/artists/3zGBYPgeO80hsA9j8AsShz"", ""type"": ""artist"", ""id"": ""3zGBYPgeO80hsA9j8AsShz""}]",Yandhi,3zGBYPgeO80hsA9j8AsShz,BamBam,spotify:album:3ZEWKD7jgTFYha5EkOsBQL,2019-06-27T15:25:21.101Z
Wrestlemania 20 (feat. Anderson .Paak),384500,True,1BvfiwG6Kb2wI00jt1aEmk,spotify:track:1BvfiwG6Kb2wI00jt1aEmk,"[{""name"": ""Westside Gunn"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0ABk515kENDyATUdpCKVfW""}, ""uri"": ""spotify:artist:0ABk515kENDyATUdpCKVfW"", ""href"": ""https://api.spotify.com/v1/artists/0ABk515kENDyATUdpCKVfW"", ""type"": ""artist"", ""id"": ""0ABk515kENDyATUdpCKVfW""}, {""name"": ""Anderson .Paak"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/3jK9MiCrA42lLAdMGUZpwa""}, ""uri"": ""spotify:artist:3jK9MiCrA42lLAdMGUZpwa"", ""href"": ""https://api.spotify.com/v1/artists/3jK9MiCrA42lLAdMGUZpwa"", ""type"": ""artist"", ""id"": ""3jK9MiCrA42lLAdMGUZpwa""}]",Westside Gunn,0ABk515kENDyATUdpCKVfW,Supreme Blientele,spotify:album:7y5SAIhUDzt6JlRhHeCQVI,2019-06-27T15:41:35.910Z
Then We Get Nast(y),224000,True,2DzeiTzoepS5zf0myVGHDo,spotify:track:2DzeiTzoepS5zf0myVGHDo,"[{""name"": ""Sybyr"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4WVDlzQCHAIWzBP5iZwuOJ""}, ""uri"": ""spotify:artist:4WVDlzQCHAIWzBP5iZwuOJ"", ""href"": ""https://api.spotify.com/v1/artists/4WVDlzQCHAIWzBP5iZwuOJ"", ""type"": ""artist"", ""id"": ""4WVDlzQCHAIWzBP5iZwuOJ""}]",Sybyr,4WVDlzQCHAIWzBP5iZwuOJ,Latex Shawdy,spotify:album:7yh9ZLhpYOAN5ROuOKeAWO,2019-06-27T15:13:09.944Z
