"weekday","hour","country","subcategory"
"Tuesday",16,"SG","Shopping"
"Tuesday",12,"SG","Shopping"
"Monday",20,"SG","Food"
"Monday",14,"SG","Shopping"
"Sunday",19,"SG","Food"
"Sunday",16,"SG","Shopping"
"Sunday",15,"SG","Shopping"
"Saturday",20,"SG","Food"
"Saturday",16,"SG","Shopping"
"Friday",22,"SG","Shopping"
"Friday",22,"SG","Food"
"Friday",20,"SG","Shopping"
"Friday",17,"SG","Food"
"Thursday",19,"SG","Shopping"
"Wednesday",19,"MY","Shopping"
"Wednesday",18,"MY","Food"
"Wednesday",12,"MY","Shopping"
"Tuesday",19,"MY","Food"
"Tuesday",14,"MY","Shopping"
"Monday",19,"MY","Food"
"Monday",14,"MY","Shopping"
"Sunday",19,"MY","Shopping"
"Sunday",18,"MY","Food"
"Saturday",20,"MY","Shopping"
"Friday",19,"MY","Food"
"Friday",12,"MY","Coffee"
"Thursday",12,"MY","Shopping"
"Wednesday",18,"MY","Shopping"
"Tuesday",18,"MY","Shopping"
"Tuesday",14,"MY","Shopping"
"Tuesday",14,"MY","Shopping"
"Tuesday",12,"MY","Shopping"
"Monday",17,"MY","Food"
"Monday",15,"MY","Coffee"
"Monday",14,"MY","Shopping"
"Monday",13,"MY","Shopping"
"Sunday",19,"MY","Shopping"
"Sunday",19,"MY","Food"
"Saturday",19,"MY","Shopping"
"Saturday",19,"MY","Food"
"Saturday",13,"MY","Shopping"
"Friday",21,"MY","Food"
"Friday",12,"MY","Shopping"
"Thursday",16,"MY","Coffee"
"Wednesday",20,"MY","Shopping"
"Tuesday",21,"MY","Food"
"Tuesday",16,"MY","Coffee"
"Monday",19,"MY","Shopping"
"Monday",19,"MY","Food"
"Monday",15,"MY","Coffee"
"Sunday",18,"MY","Food"
"Sunday",12,"MY","Coffee"
"Saturday",14,"MY","Shopping"
"Friday",16,"MY","Shopping"
"Thursday",19,"KH","Food"
"Thursday",13,"KH","Food"
"Tuesday",19,"KH","Food"
"Monday",11,"KH","Food"
"Sunday",18,"KH","Food"
"Sunday",12,"KH","Food"
"Saturday",18,"KH","Food"
"Thursday",21,"TH","Shopping"
"Thursday",15,"TH","Shopping"
"Thursday",14,"TH","Food"
"Thursday",0,"TH","Shopping"
"Wednesday",20,"TH","Food"
"Wednesday",12,"TH","Shopping"
"Tuesday",22,"TH","Food"
"Tuesday",20,"TH","Drinks"
"Tuesday",19,"TH","Shopping"
"Tuesday",17,"TH","Food"
"Monday",20,"TH","Shopping"
"Sunday",20,"TH","Shopping"
"Saturday",18,"TH","Shopping"
"Saturday",14,"TH","Food"
"Thursday",15,"TH","Shopping"
"Wednesday",19,"TH","Shopping"
"Wednesday",15,"TH","Shopping"
"Wednesday",15,"TH","Food"
"Tuesday",18,"TH","Shopping"
"Tuesday",18,"TH","Shopping"
"Tuesday",17,"TH","Shopping"
"Monday",18,"TH","Shopping"
"Monday",17,"TH","Coffee"
"Monday",17,"TH","Shopping"
"Sunday",17,"TH","Shopping"
"Sunday",15,"TH","Drinks"
"Saturday",15,"TH","Shopping"
"Saturday",15,"TH","Food"
"Friday",23,"TH","Shopping"
"Friday",17,"TH","Shopping"
"Friday",10,"TH","Shopping"
"Thursday",19,"TH","Shopping"
"Thursday",16,"TH","Shopping"
"Thursday",14,"TH","Coffee"
"Thursday",14,"TH","Food"
"Wednesday",22,"TH","Shopping"
"Wednesday",14,"TH","Shopping"
"Tuesday",22,"TH","Shopping"
"Monday",15,"TH","Shopping"
"Monday",15,"TH","Shopping"
"Sunday",21,"TH","Shopping"
"Sunday",14,"TH","Shopping"
"Sunday",13,"TH","Shopping"
"Sunday",12,"TH","Food"
"Saturday",14,"TH","Shopping"
"Friday",22,"TH","Shopping"
"Friday",12,"TH","Food"
"Thursday",14,"TH","Food"
"Wednesday",14,"TH","Shopping"
"Wednesday",13,"TH","Food"
"Tuesday",18,"TH","Food"
"Monday",14,"TH","Food"
"Monday",10,"TH","Food"
"Sunday",18,"TH","Shopping"
"Sunday",14,"TH","Food"
"Friday",8,"MY","Food"
"Thursday",20,"MY","Food"
"Thursday",20,"MY","Shopping"
"Thursday",15,"MY","Shopping"
"Wednesday",14,"MY","Shopping"
"Wednesday",12,"MY","Food"
"Tuesday",21,"MY","Shopping"
"Monday",13,"MY","Food"
"Sunday",20,"MY","Shopping"
"Sunday",19,"MY","Food"
"Sunday",14,"MY","Shopping"
"Saturday",20,"MY","Food"
"Saturday",13,"MY","Food"
"Friday",19,"MY","Food"
"Friday",10,"MY","Food"
"Thursday",19,"MY","Drinks"
"Thursday",16,"MY","Food"
"Thursday",9,"MY","Shopping"
"Wednesday",12,"MY","Food"
"Wednesday",12,"MY","Food"
"Tuesday",22,"MY","Coffee"
"Tuesday",18,"MY","Food"
"Tuesday",13,"MY","Food"
"Monday",18,"MY","Food"
