date,efficiency,startTime,endTime,timeInBed,minutesAsleep,restlessCount,minutesAfterWakeup,minutesToFallAsleep,minutesAwake,restlessDuration,deep,light,rem,wake
2019-09-27,98,2019-09-27T00:13:30.000,2019-09-27T04:44:30.000,271,265,5,0,0,6,6,32,125,70,44
2019-09-28,91,2019-09-28T00:23:30.000,2019-09-28T09:17:00.000,533,486,29,0,0,47,42,82,241,151,59
2019-09-29,94,2019-09-29T01:18:30.000,2019-09-29T08:50:30.000,452,422,21,1,0,29,28,108,187,113,44
2019-09-30,94,2019-09-30T01:18:00.000,2019-09-30T08:59:30.000,461,435,14,0,0,26,25,90,231,100,40
2019-10-01,95,2019-10-01T00:18:30.000,2019-10-01T08:54:30.000,516,488,14,0,0,28,25,106,229,133,48
2019-10-02,93,2019-10-02T01:18:30.000,2019-10-02T08:51:30.000,453,414,4,0,0,30,5,79,215,104,55
2019-10-03,96,2019-10-03T00:55:00.000,2019-10-03T08:19:30.000,444,427,8,0,0,17,17,83,205,105,51
2019-10-04,92,2019-10-04T01:25:30.000,2019-10-04T08:39:30.000,434,398,18,0,0,36,31,98,186,106,44
2019-10-05,92,2019-10-05T01:24:00.000,2019-10-05T09:31:30.000,487,447,22,0,0,40,36,86,226,114,61
2019-10-06,95,2019-10-06T00:10:30.000,2019-10-06T08:25:30.000,495,470,17,0,0,25,21,112,222,105,56
2019-10-07,93,2019-10-07T00:16:30.000,2019-10-07T09:07:30.000,531,496,18,0,0,35,30,80,287,100,64
2019-10-08,95,2019-10-08T00:55:00.000,2019-10-08T08:36:30.000,461,437,18,0,0,24,24,81,240,67,73
2019-10-09,89,2019-10-09T01:13:30.000,2019-10-09T08:26:00.000,432,386,21,0,0,46,42,98,171,118,45
2019-10-10,89,2019-10-10T00:07:00.000,2019-10-10T08:54:30.000,527,466,33,1,0,60,57,84,273,107,63
2019-10-11,93,2019-10-11T00:54:00.000,2019-10-11T08:53:30.000,479,443,25,1,0,35,35,86,208,119,66
2019-10-12,96,2019-10-12T01:10:00.000,2019-10-12T09:01:30.000,471,453,13,0,0,18,17,101,211,106,53
2019-10-13,93,2019-10-13T01:06:00.000,2019-10-13T09:06:30.000,480,446,21,0,0,34,28,87,231,104,58
2019-10-14,96,2019-10-14T00:16:00.000,2019-10-14T07:34:00.000,438,419,17,0,0,19,19,104,182,110,42
2019-10-15,94,2019-10-15T01:27:00.000,2019-10-15T08:42:30.000,435,407,16,0,0,28,27,84,211,95,45
2019-10-16,94,2019-10-16T00:10:00.000,2019-10-16T07:22:30.000,432,404,8,0,0,28,18,55,224,106,47
2019-10-17,96,2019-10-16T22:32:30.000,2019-10-17T05:13:30.000,401,383,9,1,0,17,18,83,171,108,39
2019-10-18,94,2019-10-17T22:14:00.000,2019-10-18T07:29:30.000,555,521,16,0,0,34,31,78,303,105,69
2019-10-20,92,2019-10-20T04:04:00.000,2019-10-20T11:30:30.000,446,410,17,0,0,36,28,100,190,86,70
2019-10-21,95,2019-10-21T02:08:00.000,2019-10-21T09:47:30.000,459,437,13,1,0,21,19,96,206,107,50
2019-10-22,96,2019-10-21T23:08:30.000,2019-10-22T08:12:30.000,544,520,16,1,0,23,24,98,261,136,49
2019-10-23,97,2019-10-22T23:47:30.000,2019-10-23T08:17:00.000,509,494,12,0,0,15,15,93,242,125,49
2019-10-24,94,2019-10-23T23:37:00.000,2019-10-24T08:36:30.000,539,505,24,0,0,34,30,88,260,130,61
