"","ds","y"
"363",2019-07-12 18:30:00,223
"364",2019-07-12 18:45:00,439
"365",2019-07-12 19:00:00,1007
"366",2019-07-12 19:15:00,495
"367",2019-07-12 19:30:00,553
"368",2019-07-12 19:45:00,938
"369",2019-07-12 20:00:00,893
"370",2019-07-12 20:15:00,825
"371",2019-07-12 20:30:00,246
"372",2019-07-12 20:45:00,253
"373",2019-07-12 21:00:00,414
"374",2019-07-12 21:15:00,361
"375",2019-07-12 21:30:00,522
"376",2019-07-12 21:45:00,1427
"377",2019-07-12 22:00:00,542
"378",2019-07-12 22:15:00,0
"379",2019-07-12 22:30:00,0
"380",2019-07-12 22:45:00,34
"381",2019-07-12 23:00:00,74
"382",2019-07-12 23:15:00,8
"383",2019-07-12 23:30:00,122
"384",2019-07-12 23:45:00,0
"385",2019-07-13 00:00:00,0
"386",2019-07-13 00:15:00,8
"387",2019-07-13 00:30:00,49
"388",2019-07-13 00:45:00,46
"389",2019-07-13 01:00:00,17
"390",2019-07-13 01:15:00,0
"391",2019-07-13 01:30:00,111
"392",2019-07-13 01:45:00,0
"393",2019-07-13 02:00:00,0
"394",2019-07-13 02:15:00,0
"395",2019-07-13 02:30:00,0
"396",2019-07-13 02:45:00,33
"397",2019-07-13 03:00:00,0
"398",2019-07-13 03:15:00,49
"399",2019-07-13 03:30:00,0
"400",2019-07-13 03:45:00,0
"401",2019-07-13 04:00:00,0
"402",2019-07-13 04:15:00,0
"403",2019-07-13 04:30:00,0
"404",2019-07-13 04:45:00,0
"405",2019-07-13 05:00:00,0
"406",2019-07-13 05:15:00,0
"407",2019-07-13 05:30:00,0
"408",2019-07-13 05:45:00,0
"409",2019-07-13 06:00:00,0
"410",2019-07-13 06:15:00,0
"411",2019-07-13 06:30:00,0
"412",2019-07-13 06:45:00,0
"413",2019-07-13 07:00:00,0
"414",2019-07-13 07:15:00,0
"415",2019-07-13 07:30:00,0
"416",2019-07-13 07:45:00,0
"417",2019-07-13 08:00:00,0
"418",2019-07-13 08:15:00,0
"419",2019-07-13 08:30:00,0
"420",2019-07-13 08:45:00,0
"421",2019-07-13 09:00:00,0
"422",2019-07-13 09:15:00,0
"423",2019-07-13 09:30:00,0
"424",2019-07-13 09:45:00,0
"425",2019-07-13 10:00:00,0
"426",2019-07-13 10:15:00,0
"427",2019-07-13 10:30:00,4
"428",2019-07-13 10:45:00,0
"429",2019-07-13 11:00:00,0
"430",2019-07-13 11:15:00,17
"431",2019-07-13 11:30:00,0
"432",2019-07-13 11:45:00,0
"433",2019-07-13 12:00:00,71
"434",2019-07-13 12:15:00,350
"435",2019-07-13 12:30:00,600
"436",2019-07-13 12:45:00,109
"437",2019-07-13 13:00:00,1082
"438",2019-07-13 13:15:00,309
"439",2019-07-13 13:30:00,12
"440",2019-07-13 13:45:00,94
"441",2019-07-13 14:00:00,0
"442",2019-07-13 14:15:00,4
"443",2019-07-13 14:30:00,36
"444",2019-07-13 14:45:00,8
"445",2019-07-13 15:00:00,10
"446",2019-07-13 15:15:00,16
"447",2019-07-13 15:30:00,0
"448",2019-07-13 15:45:00,0
"449",2019-07-13 16:00:00,0
"450",2019-07-13 16:15:00,119
"451",2019-07-13 16:30:00,118
"452",2019-07-13 16:45:00,105
"453",2019-07-13 17:00:00,783
"454",2019-07-13 17:15:00,1005
"455",2019-07-13 17:30:00,558
"456",2019-07-13 17:45:00,456
"457",2019-07-13 18:00:00,562
"458",2019-07-13 18:15:00,1027
"459",2019-07-13 18:30:00,765
"460",2019-07-13 18:45:00,600
"461",2019-07-13 19:00:00,433
"462",2019-07-13 19:15:00,1011
"463",2019-07-13 19:30:00,160
"464",2019-07-13 19:45:00,0
"465",2019-07-13 20:00:00,8
"466",2019-07-13 20:15:00,16
"467",2019-07-13 20:30:00,412
"468",2019-07-13 20:45:00,434
"469",2019-07-13 21:00:00,190
"470",2019-07-13 21:15:00,0
"471",2019-07-13 21:30:00,0
"472",2019-07-13 21:45:00,136
"473",2019-07-13 22:00:00,19
"474",2019-07-13 22:15:00,84
"475",2019-07-13 22:30:00,152
"476",2019-07-13 22:45:00,5
"477",2019-07-13 23:00:00,16
"478",2019-07-13 23:15:00,21
"479",2019-07-13 23:30:00,17
"480",2019-07-13 23:45:00,9
"481",2019-07-14 00:00:00,16
"482",2019-07-14 00:15:00,13
"483",2019-07-14 00:30:00,0
"484",2019-07-14 00:45:00,7
"485",2019-07-14 01:00:00,22
"486",2019-07-14 01:15:00,13
"487",2019-07-14 01:30:00,8
"488",2019-07-14 01:45:00,5
"489",2019-07-14 02:00:00,0
"490",2019-07-14 02:15:00,112
"491",2019-07-14 02:30:00,0
"492",2019-07-14 02:45:00,0
"493",2019-07-14 03:00:00,0
"494",2019-07-14 03:15:00,0
"495",2019-07-14 03:30:00,0
"496",2019-07-14 03:45:00,7
"497",2019-07-14 04:00:00,0
